iter	PRAUC	Logloss
0	0.9508108455	0.4251234812
1	0.9693717384	0.3128081542
2	0.9748894053	0.2561139524
3	0.9778987914	0.2119795328
4	0.9808034859	0.1898375257
5	0.9831287499	0.1688598966
6	0.9876798168	0.1520671395
7	0.988823038	0.1388309788
8	0.9891194471	0.1335921861
9	0.9905486137	0.12453681
10	0.9910163021	0.1172571761
11	0.9920214312	0.1117802289
12	0.9937297657	0.1048220577
13	0.9941388813	0.1019210641
14	0.9945178008	0.09682646713
15	0.9949865934	0.09368909828
16	0.9951387318	0.09103105332
17	0.9953224932	0.08879288627
18	0.9955488571	0.08590731167
19	0.9957525706	0.0827515451
20	0.9960855042	0.07931909717
21	0.9961696868	0.07821354949
22	0.9961854618	0.07730138083
23	0.9962534276	0.07650476949
24	0.9963450421	0.07488664938
25	0.9964031172	0.07300406739
26	0.9964916281	0.07186876719
27	0.9965660003	0.07049798292
28	0.9967185215	0.06918104287
29	0.9968469769	0.06744112317
30	0.996943686	0.06600249858
31	0.9969930476	0.06528241634
32	0.9971460787	0.06445076624
33	0.99717566	0.06388423993
34	0.9973160018	0.0625182999
35	0.9974208634	0.060629164
36	0.9974773186	0.05967035324
37	0.997507192	0.05917442144
38	0.997537317	0.05862525333
39	0.9975649805	0.05811363419
40	0.9976249649	0.05725310331
41	0.997645508	0.05614157847
42	0.9976772304	0.05559286341
43	0.9977531834	0.05466691966
44	0.9977717169	0.05380634112
45	0.9977969052	0.05332880823
46	0.9978055314	0.05275105964
47	0.9978419305	0.05196543915
48	0.9978634334	0.05142837505
49	0.9979007267	0.05090302803
